appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
209730,R.A.W. Realms of Ancient War,Wizarbox,Focus Entertainment,,402,392,0,"200,000 .. 500,000",165,0,40,0,499.0,499.0,0.0,2
209750,Cannon Fodder 3,Burut CT,Game Factory Interactive,,95,81,0,"20,000 .. 50,000",38,0,41,0,1499.0,1499.0,0.0,0
209830,Lone Survivor: The Director's Cut,Jasper Byrne,Superflat Games,,1101,194,0,"200,000 .. 500,000",60,0,22,0,999.0,999.0,0.0,0
209850,Highborn,Jet Set Games,Jet Set Games,,42,22,0,"0 .. 20,000",22,0,22,0,199.0,199.0,0.0,0
209870,Blacklight: Retribution,"Hardsuit Labs, Inc.","Hardsuit Labs, Inc.",,12497,3914,0,"200,000 .. 500,000",1078,0,130,0,0.0,0.0,0.0,2
209950,Triple Town,Spry Fox LLC,Spry Fox LLC,,738,63,0,"20,000 .. 50,000",2049,0,2757,0,999.0,999.0,0.0,10
210230,Nancy Drew: Tomb of the Lost Queen,HeR Interactive,HeR Interactive,,107,14,0,"20,000 .. 50,000",120,0,172,0,1999.0,1999.0,0.0,5
210550,Angry Birds Space,Rovio Entertainment Ltd,Rovio Entertainment Ltd,,490,54,0,"20,000 .. 50,000",568,0,658,0,0.0,0.0,0.0,0
210770,Sanctum 2,Coffee Stain Studios,Coffee Stain Publishing,,12856,1435,0,"2,000,000 .. 5,000,000",434,842,169,895,1499.0,1499.0,0.0,15
210970,The Witness,"Thekla, Inc.","Thekla, Inc.",,16069,2868,0,"1,000,000 .. 2,000,000",820,422,381,431,799.0,3999.0,80.0,103
211010,Alien Shooter 2 Conscription,Sigma Team Inc.,Sigma Team Inc.,,477,109,0,"100,000 .. 200,000",282,0,276,0,249.0,999.0,75.0,5
211070,Check vs Mate,Targem Games,Topware Interactive,,80,41,0,"20,000 .. 50,000",60,0,119,0,999.0,2499.0,60.0,0
211160,Viking: Battle for Asgard,"Creative Assembly, PC Port - Hardlight",SEGA,,1144,1163,0,"500,000 .. 1,000,000",699,0,27,0,1499.0,1499.0,0.0,5
211340,Magical Diary: Horse Hall,Hanako Games,Hanako Games,,916,98,0,"50,000 .. 100,000",284,0,248,0,1499.0,1499.0,0.0,1
211400,Deadlight,"Tequila Works, S.L.",Xbox Game Studios,,9944,2685,0,"500,000 .. 1,000,000",221,0,135,0,1499.0,1499.0,0.0,2
211420,DARK SOULS: Prepare To Die Edition,"FromSoftware, Inc.",Bandai Namco Entertainment,,71475,6662,0,"1,000,000 .. 2,000,000",2941,200,1056,260,0.0,0.0,0.0,124
211500,RaceRoom Racing Experience,KW Studios,"KW Studios, RaceRoom Entertainment AG",,17812,5806,0,"2,000,000 .. 5,000,000",431,119,43,93,0.0,0.0,0.0,431
211600,Thief Gold,Looking Glass Studios,Eidos Interactive Corp.,,3567,295,0,"500,000 .. 1,000,000",388,0,39,0,97.0,699.0,86.0,19
211740,Thief II: The Metal Age,Looking Glass Studios,Eidos Interactive Corp.,,1852,105,0,"500,000 .. 1,000,000",558,0,72,0,97.0,699.0,86.0,12
211780,Conflict Desert Storm,Pivotal Games,Square Enix,,859,358,0,"200,000 .. 500,000",221,0,165,0,699.0,699.0,0.0,6
211820,Starbound,Chucklefish,Chucklefish,,152150,12756,0,"2,000,000 .. 5,000,000",3329,178,1172,178,1499.0,1499.0,0.0,894
211900,Conquest of Elysium 3,Illwinter Game Design,Illwinter Game Design,,261,62,0,"100,000 .. 200,000",1007,0,1509,0,999.0,999.0,0.0,1
211970,Test Drive: Ferrari Racing Legends,Slightly Mad Studios,Evolved Games,,204,127,0,"20,000 .. 50,000",1115,0,1669,0,1999.0,1999.0,0.0,1
212010,Galaxy on Fire 2 Full HD,Fishlabs Entertainment GmbH,bitComposer Games,,1637,513,0,"200,000 .. 500,000",333,10,161,10,799.0,799.0,0.0,10
212070,Star Conflict,Star Gem Inc.,Gaijin Network Ltd,,10879,3974,0,"2,000,000 .. 5,000,000",2683,0,116,0,0.0,0.0,0.0,95
212160,Vindictus,devCAT,NEXON Korea Corp. &amp; NEXON America Inc.,,5300,2563,0,"2,000,000 .. 5,000,000",1548,0,130,0,0.0,0.0,0.0,141
212200,Mabinogi,NEXON Korea Corporation,Nexon America Inc.,,2932,1044,0,"500,000 .. 1,000,000",11878,0,370,0,0.0,0.0,0.0,559
212480,Sonic & All-Stars Racing Transformed Collection,Sumo Digital,SEGA,,16039,1104,0,"500,000 .. 1,000,000",1158,209,248,261,1999.0,1999.0,0.0,41
212500,The Lord of the Rings Online,Standing Stone Games,Daybreak Game Company LLC,,17099,3896,0,"2,000,000 .. 5,000,000",3167,66,225,86,0.0,0.0,0.0,793
212630,Tom Clancy's Ghost Recon: Future Soldier,"Ubisoft Paris, Red Storm Entertainment",Ubisoft,,3912,1702,0,"200,000 .. 500,000",616,0,247,0,1999.0,1999.0,0.0,22
212680,FTL: Faster Than Light,Subset Games,Subset Games,,71561,3491,0,"2,000,000 .. 5,000,000",2981,126,660,104,249.0,999.0,75.0,1566
212740,TERA - Action MMORPG,"Bluehole, Inc.",Gameforge 4D GmbH,,6071,1678,0,"1,000,000 .. 2,000,000",1998,0,246,0,0.0,0.0,0.0,1
212780,New Star Soccer 5,New Star Games,New Star Games,,574,248,0,"100,000 .. 200,000",184,0,259,0,999.0,999.0,0.0,6
212800,Super Crate Box,Vlambeer,Vlambeer,,5770,716,0,"500,000 .. 1,000,000",102,0,45,0,0.0,0.0,0.0,8
213030,Penny Arcade's On the Rain-Slick Precipice of Darkness 3,Zeboyd Games,"Penny Arcade, Inc.",,497,86,0,"200,000 .. 500,000",384,0,138,0,0.0,0.0,0.0,0
213330,LEGO Batman 2: DC Super Heroes,TT Games,Warner Bros. Interactive Entertainment,,6957,426,0,"200,000 .. 500,000",626,143,238,168,1999.0,1999.0,0.0,84
213610,Sonic Adventure 2,SEGA,SEGA,,22711,2761,0,"1,000,000 .. 2,000,000",667,174,199,332,999.0,999.0,0.0,234
213650,Dwarfs - F2P,Power of 2,Tripwire Interactive,,1446,248,0,"500,000 .. 1,000,000",416,0,88,0,0.0,0.0,0.0,2
213670,South Park: The Stick of Truth,Obsidian Entertainment,Ubisoft,,66636,1669,0,"2,000,000 .. 5,000,000",882,301,703,521,2999.0,2999.0,0.0,274
213850,Magic 2014 — Duels of the Planeswalkers,Stainless Games,Wizards of the Coast LLC,,3783,796,0,"500,000 .. 1,000,000",1946,0,432,0,0.0,0.0,0.0,16
214150,Galactic Civilizations I: Ultimate Edition,Stardock Entertainment,Stardock Entertainment,,138,149,0,"200,000 .. 500,000",223,0,217,0,249.0,499.0,50.0,4
214170,Divine Divinity,Larian Studios,Larian Studios,,3106,426,0,"500,000 .. 1,000,000",621,3245,46,3245,599.0,599.0,0.0,16
214340,Deponia,Daedalic Entertainment,Daedalic Entertainment,,10509,1566,0,"1,000,000 .. 2,000,000",328,0,212,0,999.0,999.0,0.0,25
214420,Gear Up,Doctor Entertainment AB,Doctor Entertainment AB,,6243,2119,0,"1,000,000 .. 2,000,000",232,0,75,0,0.0,0.0,0.0,4
214490,Alien: Isolation,"Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,56716,4115,0,"2,000,000 .. 5,000,000",685,83,266,154,3999.0,3999.0,0.0,211
214510,LEGO The Lord of the Rings,Traveller's Tales,Warner Bros. Interactive Entertainment,,12822,1390,0,"1,000,000 .. 2,000,000",545,315,157,502,1999.0,1999.0,0.0,154
214550,Eets Munchies,Klei Entertainment,Klei Entertainment,,610,155,0,"200,000 .. 500,000",93,0,53,0,699.0,699.0,0.0,1
214560,Mark of the Ninja,Klei Entertainment,Microsoft Studios,,15360,476,0,"1,000,000 .. 2,000,000",446,168,270,276,499.0,499.0,0.0,2
214610,Cherry Tree High Comedy Club,773,Nyu Media,,491,91,0,"50,000 .. 100,000",191,0,156,0,0.0,0.0,0.0,1
214630,Call of Duty: Black Ops - Mac Edition,Aspyr,Aspyr,,181,113,0,"100,000 .. 200,000",224,0,371,0,0.0,0.0,0.0,0
214730,Space Rangers HD: A War Apart,"SNK Games, Elemental Games, Katauri Interactive",Fulqrum Publishing,,6289,377,0,"200,000 .. 500,000",1912,16,825,16,224.0,1499.0,85.0,140
214770,Guacamelee! Gold Edition,Drinkbox Studios,"Drinkbox Studios, Kepler Ghost",,5539,411,0,"500,000 .. 1,000,000",317,0,165,0,374.0,1499.0,75.0,3
214790,The Basement Collection,"Edmund McMillen, Tyler Glaiel",Edmund McMillen,,1295,206,0,"200,000 .. 500,000",172,0,76,0,399.0,399.0,0.0,2
214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,Opus,Marvelous,,1261,208,0,"200,000 .. 500,000",186,0,91,0,999.0,999.0,0.0,3
214870,Painkiller Hell & Damnation,The Farm 51,Prime Matter,,3258,919,0,"200,000 .. 500,000",316,0,154,0,199.0,1999.0,90.0,4
214950,Total War: ROME II - Emperor Edition,"CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive",,73559,14614,0,"2,000,000 .. 5,000,000",8026,283,2935,237,1499.0,5999.0,75.0,3901
214970,Intrusion 2,Aleksey Abramenko,Aleksey Abramenko,,1850,221,0,"200,000 .. 500,000",102,0,39,0,999.0,999.0,0.0,1
215080,WAKFU,Ankama Studio,Ankama Games,,7744,2492,0,"1,000,000 .. 2,000,000",3215,5,174,5,0.0,0.0,0.0,257
215100,Ragnarok Online,Gravity Interactive,Gravity Interactive,,1651,642,0,"1,000,000 .. 2,000,000",2801,610,177,610,0.0,0.0,0.0,80
215160,The Book of Unwritten Tales,KING Art,THQ Nordic,,1909,185,0,"200,000 .. 500,000",600,0,183,0,499.0,1999.0,75.0,0
215280,Secret World Legends,Funcom,Funcom,,6104,2956,0,"1,000,000 .. 2,000,000",2051,1626,316,1626,0.0,0.0,0.0,34
215450,Transcripted,Alkemi,Alkemi,,50,3,0,"0 .. 20,000",127,0,185,0,799.0,799.0,0.0,0
215530,The Incredible Adventures of Van Helsing,NeocoreGames,NeocoreGames,,8306,1719,0,"1,000,000 .. 2,000,000",566,0,228,0,1499.0,1499.0,0.0,38
215710, Fieldrunners 2,Subatomic Studios LLC,Subatomic Studios LLC,,428,71,0,"50,000 .. 100,000",292,0,385,0,999.0,999.0,0.0,6
215770,Shad'O,Okugi Studio,Okugi Sudio,,67,55,0,"100,000 .. 200,000",132,0,126,0,499.0,499.0,0.0,0
215830,Closers,Naddic Games,Naddic Games,,3297,1214,0,"500,000 .. 1,000,000",424,0,123,0,0.0,0.0,0.0,17
215930,Jagged Alliance 2 - Wildfire,I-deal Games,Topware Interactive,,1347,380,0,"500,000 .. 1,000,000",437,0,425,0,899.0,899.0,0.0,157
216150,MapleStory,NEXON Korea Corporation,Nexon America Inc.,,8882,5305,0,"1,000,000 .. 2,000,000",15272,4982,247,5645,0.0,0.0,0.0,8092
216210,Secret Files 3,Animation Arts,Ravenscourt,,132,52,0,"20,000 .. 50,000",0,0,0,0,999.0,999.0,0.0,3
216260,Don Bradman Cricket 14,Big Ant Studios,Big Ant Studios,,681,94,0,"20,000 .. 50,000",0,0,0,0,1999.0,1999.0,0.0,9
216670,Great Big War Game,Rubicon Development,Rubicon Development,,64,5,0,"20,000 .. 50,000",24,0,29,0,699.0,699.0,0.0,4
216890,Blood Bowl: Chaos Edition,Cyanide Studios,Cyanide Studios,,1434,337,0,"200,000 .. 500,000",932,0,543,0,1499.0,1499.0,0.0,5
216910,Of Orcs And Men,"Cyanide Studio, Spiders","Cyanide Studio, Nacon",,1474,518,0,"200,000 .. 500,000",232,0,57,0,149.0,1499.0,90.0,5
217100,Dementium II HD,Memetic Games,Missing Link Games,,578,613,0,"100,000 .. 200,000",165,0,157,0,599.0,599.0,0.0,0
217100,Dementium II HD,Memetic Games,Missing Link Games,,578,613,0,"100,000 .. 200,000",165,0,157,0,599.0,599.0,0.0,0
217140,Rise of the Triad,Interceptor Entertainment,Apogee Entertainment,,1639,842,0,"200,000 .. 500,000",220,0,174,0,1499.0,1499.0,0.0,1
217200,Worms Armageddon,Team17 Digital Ltd,Team17 Digital Ltd,,9524,583,0,"1,000,000 .. 2,000,000",552,116,110,116,1499.0,1499.0,0.0,136
217290,Din's Curse,Soldak Entertainment,Soldak Entertainment,,206,33,0,"20,000 .. 50,000",76,0,93,0,999.0,999.0,0.0,4
217690,Anna - Extended Edition,Dreampainters,Kalypso Media Digital,,975,620,0,"100,000 .. 200,000",201,0,127,0,999.0,999.0,0.0,0
217750,Age of Conan: Unchained,Funcom,Funcom,,1901,840,0,"500,000 .. 1,000,000",602,4,128,4,0.0,0.0,0.0,42
218090,Unity of Command: Stalingrad Campaign,2x2 Games,2x2 Games,,776,211,0,"100,000 .. 200,000",614,0,311,0,999.0,999.0,0.0,7
218230,PlanetSide 2,Rogue Planet Games,Daybreak Game Company,,59598,14096,0,"5,000,000 .. 10,000,000",2355,193,171,377,0.0,0.0,0.0,496
218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,,594327,68755,0,"20,000,000 .. 50,000,000",9579,4544,562,1625,299.0,999.0,70.0,27254
218640,Lucius,Shiver Games,Shiver Games,,8528,1987,0,"500,000 .. 1,000,000",295,0,169,0,999.0,999.0,0.0,20
218680,Scribblenauts Unlimited,5th Cell Media,Warner Bros. Interactive Entertainment,,11038,717,0,"1,000,000 .. 2,000,000",440,770,205,775,1999.0,1999.0,0.0,35
218760,Mixcraft 8 Home Studio,"Acoustica, Inc.","Acoustica, Inc.",,567,69,0,"20,000 .. 50,000",876,0,1109,0,3999.0,3999.0,0.0,14
218820,Mercenary Kings: Reloaded Edition,Tribute Games Inc.,Tribute Games Inc.,,1707,719,0,"500,000 .. 1,000,000",544,0,215,0,1499.0,1999.0,25.0,0
219150,Hotline Miami,Dennaton Games,Devolver Digital,,103599,3058,0,"2,000,000 .. 5,000,000",409,160,255,197,999.0,999.0,0.0,404
219340,The Banner Saga: Factions,Stoic,Versus Evil,,623,218,0,"200,000 .. 500,000",195,0,94,0,0.0,0.0,0.0,0
219640,Chivalry: Medieval Warfare,Torn Banner Studios,Torn Banner Studios,,54016,11428,0,"5,000,000 .. 10,000,000",844,0,248,0,2499.0,2499.0,0.0,32
219740,Don't Starve,Klei Entertainment,Klei Entertainment,,106118,3698,0,"2,000,000 .. 5,000,000",1650,219,300,393,999.0,999.0,0.0,1472
219760,Beyond Divinity,Larian Studios,Larian Studios,,366,360,0,"200,000 .. 500,000",263,0,21,0,599.0,599.0,0.0,2
219780,Divinity II: Developer's Cut,Larian Studios,"Larian Studios, Focus Home Interactive",,4058,742,0,"500,000 .. 1,000,000",470,0,91,0,1999.0,1999.0,0.0,22
219830,King Arthur's Gold,Transhuman Design,Transhuman Design,,4390,814,0,"500,000 .. 1,000,000",2249,82,97,163,0.0,0.0,0.0,11
219890,Antichamber,Alexander Bruce,Demruth,,16269,846,0,"1,000,000 .. 2,000,000",217,0,97,0,1999.0,1999.0,0.0,11
219910,Edna & Harvey: Harvey's New Eyes,Daedalic Entertainment,Daedalic Entertainment,,2809,353,0,"200,000 .. 500,000",253,0,197,0,1999.0,1999.0,0.0,9
219950,NiGHTS Into Dreams,SEGA,SEGA,,1651,263,0,"200,000 .. 500,000",32,0,19,0,0.0,0.0,0.0,2
219990,Grim Dawn,Crate Entertainment,Crate Entertainment,,93489,6241,0,"10,000,000 .. 20,000,000",3925,135,1133,141,374.0,2499.0,85.0,2376
220090,The Journey Down: Chapter One,SkyGoblin,SkyGoblin,,1117,170,0,"100,000 .. 200,000",174,0,161,0,699.0,699.0,0.0,0
220160,Trials Evolution: Gold Edition,"Redlynx Ltd, Ubisoft  Shanghaï",Ubisoft,,1745,557,0,"200,000 .. 500,000",639,11,432,11,1999.0,1999.0,0.0,7
220200,Kerbal Space Program,Squad,Private Division,,121084,6078,0,"2,000,000 .. 5,000,000",4069,331,496,192,999.0,3999.0,75.0,1844
220240,Far Cry 3,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,,101914,12105,0,"2,000,000 .. 5,000,000",1447,259,784,169,1999.0,1999.0,0.0,488
220260,Farming Simulator 2013 Titanium Edition,Giants Software,Giants Software,,4857,396,0,"200,000 .. 500,000",2321,0,604,0,1499.0,1499.0,0.0,23
220420,Nancy Drew: The Deadly Device,"HeR Interactive, Inc.",HeR Interactive,,77,7,0,"0 .. 20,000",515,0,515,0,1999.0,1999.0,0.0,4
220420,Nancy Drew: The Deadly Device,"HeR Interactive, Inc.",HeR Interactive,,77,7,0,"0 .. 20,000",515,0,515,0,1999.0,1999.0,0.0,4
220440,DmC: Devil May Cry,Ninja Theory,Capcom,,27949,2035,0,"1,000,000 .. 2,000,000",620,21,347,21,749.0,2999.0,75.0,107
220460,Cargo Commander,Serious Brew,Serious Brew,,764,161,0,"100,000 .. 200,000",275,0,154,0,499.0,499.0,0.0,1
220660,StarDrive,Zero Sum Games,,,658,815,0,"200,000 .. 500,000",854,0,177,0,2999.0,2999.0,0.0,4
220700,RPG Maker VX Ace,"Gotcha Gotcha Games, KADOKAWA, Yoji Ojima",Gotcha Gotcha Games,,4568,301,0,"100,000 .. 200,000",2156,0,194,0,6999.0,6999.0,0.0,225
220740,Chaos on Deponia,Daedalic Entertainment,Daedalic Entertainment,,2527,267,0,"200,000 .. 500,000",467,0,364,0,1999.0,1999.0,0.0,11
220780,Thomas Was Alone,Bithell Games,Bithell Games,,8685,582,0,"500,000 .. 1,000,000",163,0,89,0,499.0,999.0,50.0,2
220820,Zombie Driver HD,Exor Studios,Exor Studios,,3280,653,0,"200,000 .. 500,000",152,27,68,27,999.0,999.0,0.0,5
220960,ACDSee 15,ACD Systems International Inc.,ACD Systems International Inc.,,13,10,0,"0 .. 20,000",177,0,177,0,4999.0,4999.0,0.0,0
221020,Towns,"Xavi Canal, Ben Palgi",SMP,,746,2055,0,"100,000 .. 200,000",844,0,434,0,1499.0,1499.0,0.0,4
221040,Resident Evil 6,Capcom,Capcom,,42993,11727,0,"2,000,000 .. 5,000,000",1540,117,578,183,499.0,1999.0,75.0,515
221100,DayZ,Bohemia Interactive,Bohemia Interactive,,330349,99903,0,"10,000,000 .. 20,000,000",15367,1457,2400,493,4999.0,4999.0,0.0,37066
221180,Eufloria HD,"Rudolf Kremers & Alex May, Tuna",Omni Systems,,725,84,0,"200,000 .. 500,000",430,0,155,0,1499.0,1499.0,0.0,9
221260,Little Inferno,Tomorrow Corporation,Tomorrow Corporation,,12216,668,0,"500,000 .. 1,000,000",342,4,195,4,494.0,1499.0,67.0,22
221380,Age of Empires II (Retired),"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Xbox Game Studios,,97083,4268,0,"5,000,000 .. 10,000,000",2936,1065,606,1105,1999.0,1999.0,0.0,2278
221540,DG2: Defense Grid 2,Hidden Path Entertainment,"Hidden Path Entertainment, 505 Games",,2723,440,0,"200,000 .. 500,000",561,0,317,0,1499.0,1499.0,0.0,32
221640,Super Hexagon,Terry Cavanagh,Terry Cavanagh,,23905,771,0,"1,000,000 .. 2,000,000",218,8,94,10,299.0,299.0,0.0,12
221680,Rocksmith 2014 Edition REMASTERED LEARN & PLAY,"Ubisoft - San Francisco, Ubisoft - Osaka",Ubisoft,,21217,2633,0,"500,000 .. 1,000,000",4479,176,522,220,299.0,999.0,70.0,683
221810,The Cave,Double Fine Productions,Double Fine Productions,,2456,353,0,"200,000 .. 500,000",321,10,211,17,1499.0,1499.0,0.0,5
221910,The Stanley Parable,Galactic Cafe,Galactic Cafe,,41582,3400,0,"2,000,000 .. 5,000,000",252,42,139,42,1499.0,1499.0,0.0,21
222320,Football Manager 2013 Asia,,,,0,0,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0.0,3
222420,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,"SNK CORPORATION, Code Mystics",SNK CORPORATION,,2558,262,0,"200,000 .. 500,000",239,0,97,0,1499.0,1499.0,0.0,47
222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,"SNK CORPORATION, Code Mystics",SNK CORPORATION,,4463,247,0,"200,000 .. 500,000",566,0,146,0,1499.0,1499.0,0.0,99
222480,Resident Evil Revelations,Capcom,Capcom,,12258,2947,0,"1,000,000 .. 2,000,000",658,227,320,438,499.0,1999.0,75.0,101
222520,Champions of Regnum,Nimble Giant Entertainment,Nimble Giant Entertainment,,818,379,0,"200,000 .. 500,000",257,0,74,0,0.0,0.0,0.0,51
222730,Reus,Abbey Games,Abbey Games,,4576,1263,0,"500,000 .. 1,000,000",296,0,105,0,999.0,999.0,0.0,4
222750,Wargame: Airland Battle,Eugen Systems,Eugen Systems,,3847,559,0,"500,000 .. 1,000,000",1456,0,317,0,1999.0,1999.0,0.0,13
222860,Left 4 Dead 2 Dedicated Server,,Square Enix,,49,9,0,"20,000 .. 50,000",0,0,0,0,0.0,0.0,0.0,1
222880,Insurgency,New World Interactive,New World Interactive,,114570,10301,0,"2,000,000 .. 5,000,000",1055,82,251,158,374.0,1499.0,75.0,154
222940,THE KING OF FIGHTERS XIII STEAM EDITION,SNK CORPORATION,SNK CORPORATION,,9351,1127,0,"500,000 .. 1,000,000",912,25,216,45,0.0,0.0,0.0,29
222980,Dead Pixels,CSR-Studios,CSR-Studios,,2105,311,0,"100,000 .. 200,000",181,0,123,0,299.0,299.0,0.0,1
223000,7 Wonders: Ancient Alien Makeover,MumboJumbo,Accelerate Games,,260,44,0,"20,000 .. 50,000",623,0,811,0,329.0,999.0,67.0,2
223100,Homefront: The Revolution,Dambuster Studios,Deep Silver,,9956,6497,0,"500,000 .. 1,000,000",803,0,430,0,1999.0,1999.0,0.0,26
223330,Sea Dogs: To Each His Own,BlackMark Studio,"Akella, Valkyrie Initiative",,1709,622,0,"100,000 .. 200,000",1847,0,1654,0,1499.0,1499.0,0.0,18
223410,Perpetuum,Avatar Creations,Gamestorm Ltd,,572,220,0,"20,000 .. 50,000",600,0,722,0,0.0,0.0,0.0,14
223470,POSTAL 2,Running With Scissors,Running With Scissors,,112414,3644,0,"5,000,000 .. 10,000,000",585,222,201,195,999.0,999.0,0.0,320
223710,Cry of Fear,Team Psykskallar,Team Psykskallar,,65852,8556,0,"5,000,000 .. 10,000,000",397,121,67,143,0.0,0.0,0.0,405
223750,DCS World Steam Edition,Eagle Dynamics SA,Eagle Dynamics SA,,31661,5528,0,"5,000,000 .. 10,000,000",1289,127,59,139,0.0,0.0,0.0,636
223830,Xenonauts,Goldhawk Interactive,Goldhawk Interactive,,4265,624,0,"500,000 .. 1,000,000",1254,0,411,0,2499.0,2499.0,0.0,53
223850,3DMark,UL Solutions,UL Solutions,,17160,1192,0,"1,000,000 .. 2,000,000",800,95,214,51,3499.0,3499.0,0.0,699
224260,No More Room in Hell,No More Room in Hell Team,Lever Games,,66753,7500,0,"5,000,000 .. 10,000,000",589,221,124,292,0.0,0.0,0.0,473
224380,Virtual DJ - Broadcaster Edition,Atomix Productions,MoFunZone Inc,,40,39,0,"0 .. 20,000",27,0,27,0,0.0,0.0,0.0,2
224380,Virtual DJ - Broadcaster Edition,Atomix Productions,MoFunZone Inc,,40,39,0,"0 .. 20,000",27,0,27,0,0.0,0.0,0.0,2
224480,Octodad: Dadliest Catch,Young Horses,Young Horses,,9539,616,0,"1,000,000 .. 2,000,000",601,0,165,0,1499.0,1499.0,0.0,18
224500,Gnomoria,Robotronic Games,Robotronic Games,,2658,856,0,"50,000 .. 100,000",536,0,124,0,1499.0,1499.0,0.0,8
224600,Defiance,Trion Worlds,Trion Worlds,,9676,2964,0,"2,000,000 .. 5,000,000",879,0,190,0,0.0,0.0,0.0,2
224760,FEZ,Polytron Corporation,Trapdoor,,14425,1137,0,"1,000,000 .. 2,000,000",278,0,126,0,999.0,999.0,0.0,37
224820,Super House of Dead Ninjas,Megadev,Bitmap Bureau,,1629,70,0,"100,000 .. 200,000",279,1,168,1,1999.0,1999.0,0.0,2
224900,Iron Sky: Invasion,Reality Pump,Topware Interactive,,673,465,0,"200,000 .. 500,000",389,0,424,0,1999.0,1999.0,0.0,5
224960,Tomb Raider I (1996),Core Design,Crystal Dynamics,,3877,664,0,"500,000 .. 1,000,000",955,0,19,0,699.0,699.0,0.0,8
224980,Tomb Raider IV: The Last Revelation (1999),Core Design,Crystal Dynamics,,1186,203,0,"200,000 .. 500,000",393,0,53,0,699.0,699.0,0.0,4
225080,Brothers - A Tale of Two Sons,Starbreeze Studios AB,505 Games,,38721,2274,0,"1,000,000 .. 2,000,000",223,0,126,0,1499.0,1499.0,0.0,9
225160,Shadow Warrior Classic Redux,General Arcade,Devolver Digital,,3110,342,0,"200,000 .. 500,000",150,0,76,0,999.0,999.0,0.0,8
225260,Brutal Legend,Double Fine Productions,Double Fine Productions,,17657,1314,0,"2,000,000 .. 5,000,000",365,0,238,0,1499.0,1499.0,0.0,36
225300,Tomb Raider II (1997),Core Design,Crystal Dynamics,,2004,302,0,"200,000 .. 500,000",601,0,21,0,699.0,699.0,0.0,6
225320,Tomb Raider III (1998),Core Design,Crystal Dynamics,,1253,239,0,"200,000 .. 500,000",646,0,49,0,699.0,699.0,0.0,3
225360,DARK,Realmforge Studios,Kalypso Media Digital,,723,633,0,"200,000 .. 500,000",133,0,98,0,999.0,999.0,0.0,0
225420,Cities in Motion 2,Colossal Order Ltd.,Paradox Interactive,,1432,1051,0,"500,000 .. 1,000,000",482,0,85,0,1999.0,1999.0,0.0,11
225540,Just Cause 3,Avalanche Studios,Square Enix,,102532,19629,0,"5,000,000 .. 10,000,000",1227,320,449,202,1999.0,1999.0,0.0,639
225640,Sacred 2 Gold,Studio II,THQ Nordic,,2637,837,0,"200,000 .. 500,000",811,275,135,275,374.0,1499.0,75.0,46
225840,Sven Co-op,Sven Co-op team,Sven Co-op team,,29316,2000,0,"1,000,000 .. 2,000,000",635,144,107,177,0.0,0.0,0.0,112
226100,PixelJunk Nom Nom Galaxy,Q-Games Ltd.,Q-Games Ltd.,,817,250,0,"200,000 .. 500,000",268,0,189,0,999.0,999.0,0.0,1
226120,Weird Worlds: Return to Infinite Space,Digital Eel,Digital Eel,,397,209,0,"100,000 .. 200,000",15,0,8,0,499.0,499.0,0.0,0
226280,Warp Frontier,Brawsome,Brawsome,,43,3,0,"20,000 .. 50,000",0,0,0,0,749.0,1499.0,50.0,0
226560,Escape Dead Island,Fatshark,Deep Silver,,990,611,0,"100,000 .. 200,000",395,0,396,0,149.0,1499.0,90.0,3
226580,F1 2014,Codemasters,"Codemasters, Electronic Arts",,2475,458,0,"500,000 .. 1,000,000",1159,0,550,0,0.0,0.0,0.0,10
226620,Desktop Dungeons,QCF Design,QCF Design,,1912,364,0,"200,000 .. 500,000",493,0,112,0,1499.0,1499.0,0.0,12
226700,Infestation: Survivor Stories 2020,Fredaikis AB,OP Productions LLC,,10644,14774,0,"1,000,000 .. 2,000,000",2411,0,410,0,0.0,0.0,0.0,30
226720,LOST PLANET 3,Spark Unlimited,Capcom,,2333,1393,0,"200,000 .. 500,000",488,0,242,0,499.0,2499.0,80.0,10
226820,Nancy Drew: Ghost of Thornton Hall,"HeR Interactive, Inc.",HeR Interactive,,268,20,0,"20,000 .. 50,000",243,0,243,0,1999.0,1999.0,0.0,13
226840,Age of Wonders III,Triumph Studios,Paradox Interactive,,10093,2485,0,"1,000,000 .. 2,000,000",582,0,164,0,2999.0,2999.0,0.0,163
226860,Galactic Civilizations III,Stardock Entertainment,Stardock Entertainment,,7874,2408,0,"1,000,000 .. 2,000,000",1021,0,477,0,2999.0,2999.0,0.0,161
